query,lat,long,lat_min,lat_max,lon_min,lon_max
Azerbaijan,40.3936294,47.7872508,38.3929551,41.9502947,44.7633701,51.0090302
Bahamas,24.7736546,-78.0000547,20.7059846,27.4734551,-80.7001941,-72.4477521
Bahrain,26.1551249,50.5344606,25.535,26.6872444,50.2697989,50.9233693
Bangladesh,24.4768598,90.2932299,24.4768098,24.4769098,90.2931799,90.2932799
Barbados,13.1500331,-59.5250305,12.845,13.535,-59.8562115,-59.2147175
Belarus,53.4250605,27.6971358,51.2626864,56.17218,23.1783344,32.7627809
Belgium,50.6402809,4.6667145,49.4969821,51.550781,2.3889137,6.408097
Belize,16.8259793,-88.7600927,15.8857286,18.4959143,-89.2273252,-87.3098494
Benin,9.5293472,2.2584408,6.0398696,12.4092028,0.776667,3.8451454
Bhutan,27.549511,90.5119273,26.7016961,28.246987,88.7464724,92.1252321
Bolivia,-17.0568696,-64.9912286,-22.8982742,-9.6689438,-69.6450073,-57.453
Bosnia and Herzegovina,44.3053476,17.5961467,42.5553114,45.2764135,15.7287433,19.6237311
Botswana,-23.1681782,24.5928742,-26.9059669,-17.778137,19.9986474,29.375304
Brazil,-10.3333333,-53.2,-33.8689056,5.2693306,-73.9830625,-28.6341164
Brunei,4.4137155,114.5653908,4.002508,5.1011857,114.0758734,115.3635623
Bulgaria,42.6073975,25.4856617,41.2353929,44.2158144,22.3571459,28.8875409
Burkina Faso,12.0753083,-1.6880314,9.4104718,15.084,-5.513207,2.4089717
Burundi,-3.3634357,29.8870575,-4.4693155,-2.3096796,29.0007401,30.849846200000002
Cambodia,13.5066394,104.869423,9.4752639,14.6904224,102.3338282,107.6276788
Cameroon,4.6125522,13.1535811,1.648982,13.083333,8.3822176,16.1885973
Canada,61.0666922,-107.9917071,41.6765556,83.3362128,-141.00275,-52.3231981
Cape Verde,16.0000552,-24.0083947,14.6066229,17.407117,-25.5731073,-22.4547752
Central African Republic,7.0323598,19.9981227,2.2053898,11.001389,14.4155426,27.4665499
Chad,15.6134137,19.0156172,7.44107,23.4975,13.47348,24
Chile,-31.7613365,-71.3187697,-56.725,-17.4983998,-109.6795789,-66.0753474
China,35.000074,104.999927,8.8383436,53.5608154,73.4997347,134.7754563
Colombia,2.8894434,-73.783892,-4.2316872,16.0571269,-82.1243666,-66.8511907
Comoros,-12.2045176,44.2832964,-12.621,-11.165,43.025305,44.7451922
Democratic Republic of the Congo,-2.9814344,23.8222636,-13.459035,5.3920026,12.039074,31.3056758
Republic of the Congo,-0.7264327,15.6419155,-5.149089,3.713056,11.0048205,18.643611
Costa Rica,10.2735633,-84.0739102,5.2980534,11.2195684,-87.295139699999993,-82.5060208
Cote d'Ivoire,7.9897371,-5.5679458,4.1621205,10.740197,-8.6014675,-2.493031
Croatia,45.5643442,17.0118954,42.1765993,46.555029,13.2104814,19.4470842
Cuba,23.0131338,-80.8328748,19.6275294,23.4816972,-85.1679702,-73.9190004
Cyprus,34.9823018,33.1451285,34.4383706,35.913252,32.0227581,34.8553182
Czech Republic,49.8167003,15.4749544,48.5518083,51.0557036,12.0905901,18.859216
Denmark,55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
Djibouti,11.8145966,42.8453061,10.9149547,12.7923081,41.7713139,43.6579046
Dominica,19.0974031,-70.3028026,17.2701708,21.2928771,-72.0574706,-68.1101463
Dominican Republic,19.0974031,-70.3028026,17.2701708,21.2928771,-72.0574706,-68.1101463
Ecuador,-1.3397668,-79.3666965,-5.0159314,1.8835964,-92.2072392,-75.192504
Egypt,26.2540493,29.2675469,21.9936506,31.8330854,24.6499112,37.1153517
El Salvador,13.8000382,-88.9140683,12.976046,14.4510488,-90.1790975,-87.6351394
Equatorial Guinea,1.613172,10.5170357,-1.6732196,3.989,5.4172943,11.3598628
Eritrea,15.9500319,37.9999668,12.3548219,18.0709917,36.4333653,43.3001714
Estonia,58.7523778,25.3319078,57.5092997,59.9383754,21.3826069,28.2100175
Ethiopia,10.2116702,38.6521203,3.397448,14.8940537,32.9975838,47.9823797
Fiji,-18.1239696,179.0122737,-21.9434274,-12.2613866,-180,180
